Chocolate_Mid_Price,Strawberries_Mid_Price,Roses_Mid_Price,Gift_Basket_Mid_Price
8000.0,4000.0,15000.0,71355.0
8001.5,3999.5,15000.0,71349.5
8001.0,3999.5,15000.5,71347.0
8002.5,3999.5,15000.0,71350.5
8002.0,3999.5,14997.5,71341.5
8001.5,3999.5,14996.5,71343.5
8002.0,3999.5,14993.5,71348.5
8003.5,3999.5,14993.5,71349.5
8002.5,3999.5,14997.5,71349.5
8002.5,3999.5,14996.0,71346.5
8002.5,3999.5,14994.5,71354.5
8001.5,3999.5,14995.5,71358.5
7998.5,3999.5,14996.5,71343.5
8000.5,4000.0,14996.5,71354.5
8000.0,3999.5,14994.5,71347.5
7999.5,4000.0,14994.0,71352.5
7998.5,3999.5,14996.0,71356.5
7998.5,3999.5,14992.5,71354.5
7999.5,3999.5,14991.0,71367.5
8001.5,4000.5,14985.5,71381.0
8001.5,4000.5,14981.5,71374.5
8000.5,4000.5,14976.5,71355.5
8000.0,3999.5,14976.0,71338.5
8000.5,4000.0,14972.5,71340.5
8000.5,4000.0,14973.0,71345.5
8001.0,4000.5,14973.5,71356.5
8003.0,4001.0,14973.0,71365.5
8001.5,4000.5,14966.0,71349.5
8002.0,4000.0,14964.5,71343.5
8003.0,4000.5,14964.5,71347.5
8002.5,4001.0,14964.5,71335.5
8002.5,4001.5,14960.5,71337.5
8004.0,4001.0,14958.5,71335.0
8004.5,4000.5,14956.0,71332.5
8003.5,4000.5,14953.5,71325.5
8004.0,4000.5,14956.5,71335.0
8004.0,4000.5,14954.5,71325.5
8003.0,4000.5,14954.5,71330.5
8002.0,4000.5,14956.5,71339.5
8001.5,4000.5,14955.0,71336.5
8003.0,4000.5,14954.5,71332.5
8001.0,4000.5,14955.0,71316.5
8001.0,3999.5,14955.5,71303.5
7998.5,3999.5,14951.5,71286.5
8000.0,3999.5,14952.0,71294.5
8000.5,4000.0,14955.5,71297.5
8001.5,4000.5,14951.5,71309.5
8000.5,3999.5,14954.0,71309.5
7999.0,4000.5,14954.5,71310.5
7998.0,3999.5,14952.5,71306.5
7999.0,4000.0,14958.0,71311.5
8000.0,3999.0,14960.5,71320.5
7997.5,3999.0,14956.5,71306.5
7997.0,3998.5,14957.0,71296.5
7996.5,3998.0,14958.5,71295.5
7996.5,3997.5,14958.0,71299.5
7994.5,3998.5,14960.0,71303.5
7995.5,3999.0,14959.5,71315.5
7995.5,3999.0,14961.5,71309.5
7996.5,3998.5,14965.5,71314.5
7996.5,3998.5,14963.5,71306.5
7997.5,3998.5,14964.5,71312.5
7997.0,3999.5,14963.0,71315.5
7997.0,3999.5,14963.5,71320.0
7997.0,4000.0,14960.0,71327.0
7996.5,3999.5,14958.5,71315.5
7995.5,3999.5,14957.5,71318.5
7996.5,4000.0,14960.5,71332.5
7997.0,4000.0,14963.5,71341.5
7998.0,4000.0,14959.5,71332.5
7998.0,4000.0,14957.5,71327.5
7997.5,4000.0,14959.5,71324.5
7998.5,3999.5,14953.5,71313.5
7998.0,4000.0,14952.5,71310.5
7999.5,4000.0,14952.0,71311.0
8001.5,4000.5,14955.5,71327.5
8002.0,4000.5,14957.5,71332.5
8002.5,4000.5,14956.5,71334.5
8003.0,4000.0,14955.5,71329.5
8002.5,4000.5,14955.0,71328.5
8002.5,4000.5,14959.5,71331.5
8002.0,4001.0,14958.0,71326.5
8004.0,4001.0,14957.0,71340.5
8002.0,4001.5,14958.0,71332.5
8000.5,4002.0,14957.5,71320.5
8002.5,4002.0,14957.0,71332.5
8003.5,4002.5,14954.0,71351.5
8002.0,4002.5,14954.0,71350.5
8003.0,4002.5,14952.5,71355.5
