day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,CHOCOLATE,7999,111,,,,,8001,111,,,,,8000.0,0.0
0,100,CHOCOLATE,8001,52,8000.0,95.0,,,8002,147,,,,,8001.5,0.0
0,200,CHOCOLATE,8000,152,,,,,8002,152,,,,,8001.0,0.0
0,300,CHOCOLATE,8002,44,8001.0,84.0,,,8003,128,,,,,8002.5,0.0
0,400,CHOCOLATE,8001,118,,,,,8003,118,,,,,8002.0,0.0
0,500,CHOCOLATE,8001,98,,,,,8002,40,8003.0,58.0,,,8001.5,0.0
0,600,CHOCOLATE,8001,109,,,,,8003,109,,,,,8002.0,0.0
0,700,CHOCOLATE,8003,52,8002.0,74.0,,,8004,52,8005.0,74.0,,,8003.5,0.0
0,800,CHOCOLATE,8002,94,,,,,8003,35,8004.0,59.0,,,8002.5,0.0
0,900,CHOCOLATE,8002,94,,,,,8003,38,8004.0,56.0,,,8002.5,0.0
0,1000,CHOCOLATE,8002,55,8001.0,67.0,,,8003,55,8004.0,67.0,,,8002.5,0.0
0,1100,CHOCOLATE,8001,61,8000.0,99.0,,,8002,61,8003.0,99.0,,,8001.5,0.0
0,1200,CHOCOLATE,7998,113,,,,,7999,40,8000.0,73.0,,,7998.5,0.0
0,1300,CHOCOLATE,8000,50,7999.0,63.0,,,8001,57,8002.0,63.0,,,8000.5,0.0
0,1400,CHOCOLATE,7999,135,,,,,8001,135,,,,,8000.0,0.0
0,1500,CHOCOLATE,7999,46,7998.0,90.0,,,8000,46,8001.0,90.0,,,7999.5,0.0
0,1600,CHOCOLATE,7998,149,,,,,7999,60,8000.0,89.0,,,7998.5,0.0
0,1700,CHOCOLATE,7998,42,7997.0,59.0,,,7999,42,8000.0,59.0,,,7998.5,0.0
0,1800,CHOCOLATE,7999,58,7998.0,78.0,,,8000,58,8001.0,78.0,,,7999.5,0.0
0,1900,CHOCOLATE,8001,58,8000.0,76.0,,,8002,58,8003.0,76.0,,,8001.5,0.0
0,2000,CHOCOLATE,8001,112,,,,,8002,51,8003.0,61.0,,,8001.5,0.0
0,2100,CHOCOLATE,8000,56,7999.0,83.0,,,8001,139,,,,,8000.5,0.0
0,2200,CHOCOLATE,7999,108,,,,,8001,108,,,,,8000.0,0.0
0,2300,CHOCOLATE,8000,53,7999.0,94.0,,,8001,147,,,,,8000.5,0.0
0,2400,CHOCOLATE,8000,38,7999.0,65.0,,,8001,38,8002.0,65.0,,,8000.5,0.0
0,2500,CHOCOLATE,8000,135,,,,,8002,135,,,,,8001.0,0.0
0,2600,CHOCOLATE,8002,130,,,,,8004,130,,,,,8003.0,0.0
0,2700,CHOCOLATE,8001,144,,,,,8002,61,8003.0,83.0,,,8001.5,0.0
0,2800,CHOCOLATE,8001,148,,,,,8003,148,,,,,8002.0,0.0
0,2900,CHOCOLATE,8002,103,,,,,8004,103,,,,,8003.0,0.0
0,3000,CHOCOLATE,8002,44,8001.0,59.0,,,8003,44,8004.0,59.0,,,8002.5,0.0
0,3100,CHOCOLATE,8002,127,,,,,8003,46,8004.0,81.0,,,8002.5,0.0
0,3200,CHOCOLATE,8003,137,,,,,8005,137,,,,,8004.0,0.0
0,3300,CHOCOLATE,8004,49,8003.0,74.0,,,8005,49,8006.0,74.0,,,8004.5,0.0
0,3400,CHOCOLATE,8003,42,8002.0,83.0,,,8004,120,,,,,8003.5,0.0
0,3500,CHOCOLATE,8003,107,,,,,8005,107,,,,,8004.0,0.0
0,3600,CHOCOLATE,8003,142,,,,,8005,142,,,,,8004.0,0.0
0,3700,CHOCOLATE,8002,132,,,,,8004,132,,,,,8003.0,0.0
