day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,CHOCOLATE,7987,104,,,,,7989,104,,,,,7988.0,0.0
1,100,CHOCOLATE,7987,100,,,,,7989,100,,,,,7988.0,0.0
1,200,CHOCOLATE,7987,163,,,,,7988,65,7989.0,98.0,,,7987.5,0.0
1,300,CHOCOLATE,7988,117,,,,,7989,53,7990.0,64.0,,,7988.5,0.0
1,400,CHOCOLATE,7989,53,7988.0,54.0,,,7990,107,,,,,7989.5,0.0
1,500,CHOCOLATE,7989,40,7988.0,81.0,,,7990,121,,,,,7989.5,0.0
1,600,CHOCOLATE,7989,117,,,,,7991,117,,,,,7990.0,0.0
1,700,CHOCOLATE,7988,110,,,,,7990,110,,,,,7989.0,0.0
1,800,CHOCOLATE,7990,111,,,,,7992,111,,,,,7991.0,0.0
1,900,CHOCOLATE,7991,114,,,,,7992,63,7993.0,51.0,,,7991.5,0.0
1,1000,CHOCOLATE,7990,48,7989.0,81.0,,,7991,48,7992.0,81.0,,,7990.5,0.0
1,1100,CHOCOLATE,7991,59,7990.0,80.0,,,7992,139,,,,,7991.5,0.0
1,1200,CHOCOLATE,7990,63,7989.0,81.0,,,7991,144,,,,,7990.5,0.0
1,1300,CHOCOLATE,7989,132,,,,,7991,132,,,,,7990.0,0.0
1,1400,CHOCOLATE,7989,141,,,,,7990,41,7991.0,100.0,,,7989.5,0.0
1,1500,CHOCOLATE,7989,43,7988.0,62.0,,,7990,105,,,,,7989.5,0.0
1,1600,CHOCOLATE,7989,125,,,,,7991,125,,,,,7990.0,0.0
1,1700,CHOCOLATE,7990,47,7989.0,97.0,,,7991,144,,,,,7990.5,0.0
1,1800,CHOCOLATE,7991,162,,,,,7993,162,,,,,7992.0,0.0
1,1900,CHOCOLATE,7991,148,,,,,7993,148,,,,,7992.0,0.0
1,2000,CHOCOLATE,7990,158,,,,,7991,60,7992.0,98.0,,,7990.5,0.0
1,2100,CHOCOLATE,7990,109,,,,,7992,109,,,,,7991.0,0.0
1,2200,CHOCOLATE,7990,98,,,,,7991,45,7992.0,53.0,,,7990.5,0.0
1,2300,CHOCOLATE,7989,141,,,,,7991,141,,,,,7990.0,0.0
1,2400,CHOCOLATE,7990,100,,,,,7991,51,7992.0,56.0,,,7990.5,0.0
1,2500,CHOCOLATE,7990,56,7989.0,99.0,,,7991,56,7992.0,99.0,,,7990.5,0.0
1,2600,CHOCOLATE,7989,137,,,,,7990,46,7991.0,91.0,,,7989.5,0.0
1,2700,CHOCOLATE,7990,119,,,,,7991,46,7992.0,73.0,,,7990.5,0.0
1,2800,CHOCOLATE,7990,119,,,,,7992,119,,,,,7991.0,0.0
1,2900,CHOCOLATE,7991,149,,,,,7993,149,,,,,7992.0,0.0
1,3000,CHOCOLATE,7991,126,,,,,7993,126,,,,,7992.0,0.0
1,3100,CHOCOLATE,7992,57,7991.0,72.0,,,7993,129,,,,,7992.5,0.0
1,3200,CHOCOLATE,7991,37,7990.0,62.0,,,7992,99,,,,,7991.5,0.0
1,3300,CHOCOLATE,7990,45,7989.0,72.0,,,7991,45,7992.0,72.0,,,7990.5,0.0
1,3400,CHOCOLATE,7988,38,7987.0,87.0,,,7989,38,7990.0,87.0,,,7988.5,0.0
1,3500,CHOCOLATE,7987,100,,,,,7989,100,,,,,7988.0,0.0
1,3600,CHOCOLATE,7988,35,7987.0,67.0,,,7989,102,,,,,7988.5,0.0
1,3700,CHOCOLATE,7988,154,,,,,7990,154,,,,,7989.0,0.0
1,3800,CHOCOLATE,7989,35,7988.0,91.0,,,7990,126,,,,,7989.5,0.0
1,3900,CHOCOLATE,7990,132,,,,,7991,46,7992.0,86.0,,,7990.5,0.0
1,4000,CHOCOLATE,7990,50,7989.0,52.0,,,7991,50,7992.0,52.0,,,7990.5,0.0
1,4100,CHOCOLATE,7989,120,,,,,7991,120,,,,,7990.0,0.0
1,4200,CHOCOLATE,7990,136,,,,,7992,136,,,,,7991.0,0.0
1,4300,CHOCOLATE,7990,115,,,,,7992,115,,,,,7991.0,0.0
1,4400,CHOCOLATE,7991,122,,,,,7992,38,7993.0,84.0,,,7991.5,0.0
1,4500,CHOCOLATE,7990,4,7989.0,141.0,,,7991,141,,,,,7990.5,0.0
1,4600,CHOCOLATE,7988,46,7987.0,64.0,,,7989,110,,,,,7988.5,0.0
1,4700,CHOCOLATE,7987,129,,,,,7989,129,,,,,7988.0,0.0
1,4800,CHOCOLATE,7986,138,,,,,7988,138,,,,,7987.0,0.0
1,4900,CHOCOLATE,7986,49,7985.0,68.0,,,7987,121,,,,,7986.5,0.0
1,5000,CHOCOLATE,7985,111,,,,,7987,111,,,,,7986.0,0.0
1,5100,CHOCOLATE,7985,52,7984.0,55.0,,,7986,52,7987.0,55.0,,,7985.5,0.0
1,5200,CHOCOLATE,7985,51,7984.0,73.0,,,7986,51,7987.0,73.0,,,7985.5,0.0
1,5300,CHOCOLATE,7985,54,7984.0,90.0,,,7986,54,7987.0,90.0,,,7985.5,0.0
1,5400,CHOCOLATE,7985,50,7984.0,99.0,,,7986,149,,,,,7985.5,0.0
1,5500,CHOCOLATE,7984,46,7983.0,90.0,,,7985,46,7986.0,90.0,,,7984.5,0.0
1,5600,CHOCOLATE,7984,147,,,,,7986,147,,,,,7985.0,0.0
1,5700,CHOCOLATE,7986,125,,,,,7987,50,7988.0,75.0,,,7986.5,0.0
1,5800,CHOCOLATE,7987,52,7986.0,89.0,,,7988,141,,,,,7987.5,0.0
1,5900,CHOCOLATE,7986,37,7985.0,75.0,,,7987,112,,,,,7986.5,0.0
1,6000,CHOCOLATE,7988,139,,,,,7990,139,,,,,7989.0,0.0
1,6100,CHOCOLATE,7987,125,,,,,7989,125,,,,,7988.0,0.0
1,6200,CHOCOLATE,7988,52,7987.0,83.0,,,7989,52,7990.0,83.0,,,7988.5,0.0
1,6300,CHOCOLATE,7989,47,7988.0,52.0,,,7990,51,7991.0,52.0,,,7989.5,0.0
1,6400,CHOCOLATE,7988,140,,,,,7990,140,,,,,7989.0,0.0
1,6500,CHOCOLATE,7988,98,,,,,7989,35,7990.0,63.0,,,7988.5,0.0
1,6600,CHOCOLATE,7989,136,,,,,7991,136,,,,,7990.0,0.0
1,6700,CHOCOLATE,7991,62,7990.0,73.0,,,7992,62,7993.0,73.0,,,7991.5,0.0
1,6800,CHOCOLATE,7990,109,,,,,7992,109,,,,,7991.0,0.0
1,6900,CHOCOLATE,7990,106,,,,,7992,97,,,,,7991.0,0.0
1,7000,CHOCOLATE,7988,124,,,,,7990,124,,,,,7989.0,0.0
1,7100,CHOCOLATE,7990,44,7989.0,98.0,,,7991,142,,,,,7990.5,0.0
1,7200,CHOCOLATE,7988,54,7987.0,69.0,,,7989,54,7990.0,69.0,,,7988.5,0.0
