day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,GIFT_BASKET,71348,19,71347.0,24.0,,,71362,19,71363.0,24.0,,,71355.0,0.0
0,100,GIFT_BASKET,71344,1,71343.0,12.0,71342.0,20.0,71355,1,71356.0,12.0,71357.0,20.0,71349.5,0.0
0,200,GIFT_BASKET,71344,4,71339.0,1.0,71338.0,14.0,71350,1,71351.0,14.0,71352.0,21.0,71347.0,0.0
0,300,GIFT_BASKET,71345,2,71343.0,11.0,71342.0,29.0,71356,2,71357.0,11.0,71358.0,29.0,71350.5,0.0
0,400,GIFT_BASKET,71336,2,71335.0,13.0,71334.0,25.0,71347,2,71348.0,13.0,71349.0,25.0,71341.5,0.0
0,500,GIFT_BASKET,71338,2,71337.0,16.0,71336.0,30.0,71349,2,71350.0,16.0,71351.0,30.0,71343.5,0.0
0,600,GIFT_BASKET,71343,2,71342.0,13.0,71341.0,21.0,71354,2,71355.0,13.0,71356.0,21.0,71348.5,0.0
0,700,GIFT_BASKET,71346,5,71340.0,16.0,71339.0,20.0,71353,16,71354.0,20.0,,,71349.5,0.0
0,800,GIFT_BASKET,71343,10,71342.0,30.0,,,71356,10,71357.0,30.0,,,71349.5,0.0
0,900,GIFT_BASKET,71341,2,71340.0,20.0,71339.0,26.0,71352,2,71353.0,20.0,71354.0,26.0,71346.5,0.0
0,1000,GIFT_BASKET,71349,2,71348.0,16.0,71347.0,19.0,71360,2,71361.0,16.0,71362.0,19.0,71354.5,0.0
0,1100,GIFT_BASKET,71353,2,71352.0,16.0,71351.0,16.0,71364,2,71365.0,16.0,71366.0,16.0,71358.5,0.0
0,1200,GIFT_BASKET,71338,2,71337.0,13.0,71336.0,24.0,71349,2,71350.0,13.0,71352.0,24.0,71343.5,0.0
0,1300,GIFT_BASKET,71349,1,71348.0,14.0,71347.0,29.0,71360,1,71361.0,14.0,71362.0,29.0,71354.5,0.0
0,1400,GIFT_BASKET,71342,2,71341.0,15.0,71340.0,24.0,71353,2,71354.0,15.0,71355.0,24.0,71347.5,0.0
0,1500,GIFT_BASKET,71347,2,71346.0,18.0,71345.0,18.0,71358,2,71359.0,18.0,71360.0,18.0,71352.5,0.0
0,1600,GIFT_BASKET,71351,1,71350.0,10.0,71349.0,25.0,71362,1,71363.0,10.0,71364.0,25.0,71356.5,0.0
0,1700,GIFT_BASKET,71348,20,71347.0,17.0,,,71361,20,71362.0,17.0,,,71354.5,0.0
0,1800,GIFT_BASKET,71362,2,71361.0,12.0,71359.0,23.0,71373,2,71374.0,12.0,71375.0,23.0,71367.5,0.0
0,1900,GIFT_BASKET,71378,7,71373.0,2.0,71372.0,17.0,71384,2,71385.0,17.0,71386.0,19.0,71381.0,0.0
0,2000,GIFT_BASKET,71369,1,71368.0,14.0,71366.0,23.0,71380,1,71381.0,14.0,71382.0,23.0,71374.5,0.0
0,2100,GIFT_BASKET,71349,13,71348.0,29.0,,,71362,13,71363.0,29.0,,,71355.5,0.0
0,2200,GIFT_BASKET,71333,2,71332.0,15.0,71331.0,21.0,71344,2,71345.0,15.0,71346.0,21.0,71338.5,0.0
0,2300,GIFT_BASKET,71335,2,71334.0,18.0,71333.0,24.0,71346,2,71347.0,18.0,71348.0,24.0,71340.5,0.0
0,2400,GIFT_BASKET,71340,2,71339.0,13.0,71337.0,21.0,71351,2,71352.0,13.0,71353.0,21.0,71345.5,0.0
0,2500,GIFT_BASKET,71351,1,71350.0,15.0,71349.0,15.0,71362,1,71363.0,15.0,71364.0,15.0,71356.5,0.0
0,2600,GIFT_BASKET,71359,15,71358.0,27.0,,,71372,15,71373.0,27.0,,,71365.5,0.0
0,2700,GIFT_BASKET,71344,1,71343.0,17.0,71341.0,20.0,71355,1,71356.0,17.0,71357.0,20.0,71349.5,0.0
0,2800,GIFT_BASKET,71337,20,71336.0,20.0,,,71350,20,71351.0,20.0,,,71343.5,0.0
0,2900,GIFT_BASKET,71342,2,71341.0,18.0,71340.0,28.0,71353,2,71354.0,18.0,71355.0,28.0,71347.5,0.0
0,3000,GIFT_BASKET,71330,2,71329.0,13.0,71328.0,26.0,71341,2,71342.0,13.0,71344.0,26.0,71335.5,0.0
0,3100,GIFT_BASKET,71332,2,71331.0,19.0,71330.0,29.0,71343,2,71344.0,19.0,71345.0,29.0,71337.5,0.0
0,3200,GIFT_BASKET,71330,2,71328.0,12.0,71327.0,22.0,71340,2,71342.0,12.0,71343.0,22.0,71335.0,0.0
0,3300,GIFT_BASKET,71327,2,71326.0,10.0,71325.0,26.0,71338,2,71339.0,10.0,71340.0,26.0,71332.5,0.0
0,3400,GIFT_BASKET,71320,2,71319.0,10.0,71318.0,15.0,71331,2,71332.0,10.0,71333.0,15.0,71325.5,0.0
0,3500,GIFT_BASKET,71329,2,71328.0,10.0,71327.0,18.0,71341,10,71342.0,18.0,,,71335.0,0.0
0,3600,GIFT_BASKET,71319,16,71318.0,21.0,,,71332,16,71333.0,21.0,,,71325.5,0.0
0,3700,GIFT_BASKET,71325,2,71324.0,10.0,71323.0,28.0,71336,2,71337.0,10.0,71338.0,28.0,71330.5,0.0
0,3800,GIFT_BASKET,71339,5,71328.0,1.0,71327.0,11.0,71340,11,71341.0,24.0,,,71339.5,0.0
0,3900,GIFT_BASKET,71333,6,71327.0,10.0,71326.0,27.0,71340,10,71341.0,27.0,,,71336.5,0.0
0,4000,GIFT_BASKET,71327,2,71326.0,13.0,71325.0,18.0,71338,2,71339.0,13.0,71341.0,18.0,71332.5,0.0
0,4100,GIFT_BASKET,71311,1,71310.0,19.0,71309.0,15.0,71322,1,71323.0,19.0,71324.0,15.0,71316.5,0.0
0,4200,GIFT_BASKET,71298,2,71297.0,12.0,71296.0,22.0,71309,2,71310.0,12.0,71311.0,22.0,71303.5,0.0
0,4300,GIFT_BASKET,71281,2,71280.0,10.0,71279.0,18.0,71292,2,71293.0,10.0,71294.0,18.0,71286.5,0.0
0,4400,GIFT_BASKET,71289,1,71288.0,18.0,71287.0,16.0,71300,1,71301.0,18.0,71302.0,16.0,71294.5,0.0
0,4500,GIFT_BASKET,71291,10,71290.0,18.0,,,71304,10,71305.0,18.0,,,71297.5,0.0
0,4600,GIFT_BASKET,71307,1,71306.0,12.0,71304.0,19.0,71312,2,71318.0,1.0,71319.0,12.0,71309.5,0.0
0,4700,GIFT_BASKET,71304,1,71303.0,18.0,71302.0,18.0,71315,1,71316.0,18.0,71317.0,18.0,71309.5,0.0
0,4800,GIFT_BASKET,71305,1,71304.0,15.0,71302.0,18.0,71316,1,71317.0,15.0,71318.0,18.0,71310.5,0.0
0,4900,GIFT_BASKET,71300,10,71299.0,28.0,,,71313,10,71315.0,28.0,,,71306.5,0.0
0,5000,GIFT_BASKET,71306,1,71305.0,11.0,71304.0,22.0,71317,1,71318.0,11.0,71319.0,22.0,71311.5,0.0
0,5100,GIFT_BASKET,71317,7,71311.0,15.0,71310.0,29.0,71324,15,71326.0,29.0,,,71320.5,0.0
0,5200,GIFT_BASKET,71301,2,71299.0,15.0,71298.0,19.0,71312,2,71313.0,15.0,71314.0,19.0,71306.5,0.0
0,5300,GIFT_BASKET,71290,14,71289.0,25.0,,,71303,14,71304.0,25.0,,,71296.5,0.0
0,5400,GIFT_BASKET,71289,20,71288.0,22.0,,,71302,20,71303.0,22.0,,,71295.5,0.0
0,5500,GIFT_BASKET,71294,1,71293.0,19.0,71292.0,18.0,71305,1,71306.0,19.0,71308.0,18.0,71299.5,0.0
0,5600,GIFT_BASKET,71298,1,71297.0,12.0,71296.0,22.0,71309,1,71310.0,12.0,71311.0,22.0,71303.5,0.0
0,5700,GIFT_BASKET,71310,2,71309.0,12.0,71308.0,21.0,71321,2,71322.0,12.0,71323.0,21.0,71315.5,0.0
0,5800,GIFT_BASKET,71303,12,71302.0,28.0,,,71316,12,71317.0,28.0,,,71309.5,0.0
0,5900,GIFT_BASKET,71309,1,71308.0,16.0,71307.0,15.0,71320,1,71321.0,16.0,71322.0,15.0,71314.5,0.0
0,6000,GIFT_BASKET,71304,2,71303.0,11.0,71302.0,29.0,71309,1,71315.0,2.0,71316.0,11.0,71306.5,0.0
0,6100,GIFT_BASKET,71307,1,71306.0,11.0,71305.0,29.0,71318,1,71319.0,11.0,71320.0,29.0,71312.5,0.0
0,6200,GIFT_BASKET,71310,1,71309.0,13.0,71308.0,28.0,71321,1,71322.0,13.0,71323.0,28.0,71315.5,0.0
0,6300,GIFT_BASKET,71317,18,71316.0,20.0,,,71323,3,71330.0,18.0,71331.0,20.0,71320.0,0.0
0,6400,GIFT_BASKET,71320,16,71319.0,30.0,,,71334,16,71335.0,30.0,,,71327.0,0.0
