day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,STRAWBERRIES,3999,210,,,,,4001,210,,,,,4000.0,0.0
0,100,STRAWBERRIES,3999,265,,,,,4000,265,,,,,3999.5,0.0
0,200,STRAWBERRIES,3999,282,,,,,4000,282,,,,,3999.5,0.0
0,300,STRAWBERRIES,3999,218,,,,,4000,218,,,,,3999.5,0.0
0,400,STRAWBERRIES,3999,79,3998.0,190.0,,,4000,269,,,,,3999.5,0.0
0,500,STRAWBERRIES,3999,163,,,,,4000,163,,,,,3999.5,0.0
0,600,STRAWBERRIES,3999,232,,,,,4000,69,4001.0,163.0,,,3999.5,0.0
0,700,STRAWBERRIES,3999,260,,,,,4000,74,4001.0,186.0,,,3999.5,0.0
0,800,STRAWBERRIES,3999,59,3998.0,136.0,,,4000,195,,,,,3999.5,0.0
0,900,STRAWBERRIES,3999,168,,,,,4000,168,,,,,3999.5,0.0
0,1000,STRAWBERRIES,3999,67,3998.0,175.0,,,4000,242,,,,,3999.5,0.0
0,1100,STRAWBERRIES,3999,215,,,,,4000,99,4001.0,116.0,,,3999.5,0.0
0,1200,STRAWBERRIES,3999,258,,,,,4000,258,,,,,3999.5,0.0
0,1300,STRAWBERRIES,3999,177,,,,,4001,177,,,,,4000.0,0.0
0,1400,STRAWBERRIES,3999,99,3998.0,128.0,,,4000,227,,,,,3999.5,0.0
0,1500,STRAWBERRIES,3999,195,,,,,4001,195,,,,,4000.0,0.0
0,1600,STRAWBERRIES,3999,288,,,,,4000,89,4001.0,199.0,,,3999.5,0.0
0,1700,STRAWBERRIES,3999,196,,,,,4000,196,,,,,3999.5,0.0
0,1800,STRAWBERRIES,3999,250,,,,,4000,78,4001.0,172.0,,,3999.5,0.0
0,1900,STRAWBERRIES,4000,199,,,,,4001,199,,,,,4000.5,0.0
0,2000,STRAWBERRIES,4000,172,,,,,4001,172,,,,,4000.5,0.0
0,2100,STRAWBERRIES,4000,279,,,,,4001,279,,,,,4000.5,0.0
0,2200,STRAWBERRIES,3999,192,,,,,4000,50,4001.0,142.0,,,3999.5,0.0
0,2300,STRAWBERRIES,3999,251,,,,,4001,251,,,,,4000.0,0.0
0,2400,STRAWBERRIES,3999,221,,,,,4001,221,,,,,4000.0,0.0
0,2500,STRAWBERRIES,4000,71,3999.0,118.0,,,4001,189,,,,,4000.5,0.0
0,2600,STRAWBERRIES,4000,239,,,,,4002,239,,,,,4001.0,0.0
0,2700,STRAWBERRIES,4000,83,3999.0,187.0,,,4001,270,,,,,4000.5,0.0
0,2800,STRAWBERRIES,3999,226,,,,,4001,226,,,,,4000.0,0.0
0,2900,STRAWBERRIES,4000,194,,,,,4001,194,,,,,4000.5,0.0
0,3000,STRAWBERRIES,4000,193,,,,,4002,193,,,,,4001.0,0.0
0,3100,STRAWBERRIES,4001,81,4000.0,141.0,,,4002,222,,,,,4001.5,0.0
0,3200,STRAWBERRIES,4000,236,,,,,4002,236,,,,,4001.0,0.0
0,3300,STRAWBERRIES,4000,249,,,,,4001,249,,,,,4000.5,0.0
0,3400,STRAWBERRIES,4000,83,3999.0,195.0,,,4001,278,,,,,4000.5,0.0
0,3500,STRAWBERRIES,4000,55,3999.0,114.0,,,4001,176,,,,,4000.5,0.0
0,3600,STRAWBERRIES,4000,238,,,,,4001,230,,,,,4000.5,0.0
0,3700,STRAWBERRIES,4000,180,,,,,4001,180,,,,,4000.5,0.0
0,3800,STRAWBERRIES,4000,168,,,,,4001,50,4002.0,118.0,,,4000.5,0.0
0,3900,STRAWBERRIES,4000,215,,,,,4001,95,4002.0,120.0,,,4000.5,0.0
0,4000,STRAWBERRIES,4000,238,,,,,4001,238,,,,,4000.5,0.0
0,4100,STRAWBERRIES,4000,223,,,,,4001,223,,,,,4000.5,0.0
0,4200,STRAWBERRIES,3999,200,,,,,4000,94,4001.0,106.0,,,3999.5,0.0
0,4300,STRAWBERRIES,3999,170,,,,,4000,170,,,,,3999.5,0.0
0,4400,STRAWBERRIES,3999,257,,,,,4000,75,4001.0,182.0,,,3999.5,0.0
0,4500,STRAWBERRIES,3999,174,,,,,4001,174,,,,,4000.0,0.0
0,4600,STRAWBERRIES,4000,77,3999.0,157.0,,,4001,234,,,,,4000.5,0.0
0,4700,STRAWBERRIES,3999,270,,,,,4000,83,4001.0,187.0,,,3999.5,0.0
0,4800,STRAWBERRIES,4000,12,3999.0,252.0,,,4001,252,,,,,4000.5,0.0
0,4900,STRAWBERRIES,3999,192,,,,,4000,64,4001.0,128.0,,,3999.5,0.0
0,5000,STRAWBERRIES,3999,264,,,,,4001,264,,,,,4000.0,0.0
0,5100,STRAWBERRIES,3998,203,,,,,4000,203,,,,,3999.0,0.0
0,5200,STRAWBERRIES,3998,276,,,,,4000,276,,,,,3999.0,0.0
0,5300,STRAWBERRIES,3998,250,,,,,3999,67,4000.0,177.0,,,3998.5,0.0
0,5400,STRAWBERRIES,3997,207,,,,,3999,207,,,,,3998.0,0.0
