Chocolate_Mid_Price,Strawberries_Mid_Price,Roses_Mid_Price,Gift_Basket_Mid_Price,Gift_Basket_Premium
7988.0,4030.5,14545.5,71114.5,434.0
7988.0,4030.5,14543.5,71114.0,435.5
7987.5,4030.0,14543.5,71115.5,442.0
7988.5,4030.0,14541.5,71123.5,448.0
7989.5,4030.0,14547.5,71132.5,447.0
7989.5,4030.5,14550.0,71139.5,448.5
7990.0,4030.5,14550.5,71142.5,449.0
7989.0,4031.0,14548.0,71141.5,451.5
7991.0,4030.5,14550.5,71144.5,447.0
7991.5,4030.5,14552.5,71149.5,448.0
7990.5,4030.0,14551.0,71146.0,453.0
7991.5,4030.5,14550.0,71152.0,453.0
7990.5,4030.5,14545.5,71138.5,448.0
7990.0,4030.5,14545.5,71138.5,450.0
7989.5,4031.0,14548.5,71145.5,453.0
7989.5,4030.5,14551.5,71127.5,435.0
7990.0,4030.5,14553.0,71135.5,439.5
7990.5,4031.0,14555.5,71140.5,437.0
7992.0,4030.5,14553.5,71141.5,437.0
7992.0,4030.5,14552.5,71146.5,443.0
7990.5,4030.5,14556.0,71147.5,446.5
7991.0,4030.5,14557.5,71146.5,442.0
7990.5,4031.5,14555.0,71142.5,436.5
7990.0,4031.5,14556.5,71137.5,432.0
7990.5,4032.0,14559.0,71160.5,447.5
7990.5,4032.5,14561.5,71160.5,442.0
7989.5,4033.5,14561.5,71159.5,439.0
7990.5,4033.5,14560.5,71167.5,444.0
7991.0,4033.0,14561.5,71165.5,442.0
7992.0,4033.0,14566.5,71170.5,438.0
7992.0,4032.0,14566.5,71159.5,433.0
7992.5,4032.5,14565.0,71156.0,426.0
7991.5,4033.0,14566.0,71150.5,420.5
7990.5,4033.0,14562.5,71139.0,416.5
7988.5,4033.5,14563.5,71125.5,407.0
7988.0,4033.5,14562.5,71127.5,412.0
7988.5,4034.0,14565.5,71145.5,422.0
7989.0,4033.5,14565.5,71146.5,424.0
7989.5,4033.0,14568.5,71161.5,437.0
7990.5,4032.5,14575.5,71165.5,433.0
7990.5,4032.5,14574.5,71175.5,444.0
7990.0,4033.0,14572.5,71168.5,438.0
7991.0,4032.5,14573.5,71167.5,435.0
7991.0,4032.5,14573.5,71167.5,435.0
7991.5,4032.5,14574.0,71169.5,434.5
7990.5,4032.5,14572.5,71164.5,435.0
7988.5,4032.5,14574.0,71155.5,432.5
7988.0,4032.5,14574.5,71151.5,430.0
7987.0,4032.5,14568.5,71135.5,424.0
7986.5,4032.5,14567.5,71130.5,422.0
7986.0,4032.5,14568.5,71130.0,422.5
7985.5,4032.0,14572.0,71129.5,423.5
7985.5,4032.0,14570.5,71122.0,417.5
7985.5,4032.0,14568.5,71123.5,421.0
7985.5,4032.5,14571.5,71133.5,425.0
7984.5,4032.5,14569.5,71122.5,420.0
7985.0,4032.5,14570.5,71125.5,420.0
7986.5,4032.5,14571.5,71134.5,422.0
7987.5,4032.0,14573.5,71144.5,429.0
7986.5,4032.0,14573.5,71144.5,433.0
7989.0,4032.0,14570.5,71158.5,440.0
7988.0,4033.0,14573.5,71145.0,421.5
7988.5,4032.5,14572.5,71150.5,429.0
7989.5,4031.5,14571.0,71141.5,423.5
7989.0,4031.5,14576.5,71145.5,424.0
7988.5,4031.5,14579.5,71149.5,427.0
7990.0,4031.5,14576.5,71149.5,424.0
7991.5,4032.0,14574.5,71153.5,421.0
7991.0,4031.5,14574.5,71130.5,403.0
7991.0,4031.5,14572.5,71122.5,397.0
7989.0,4031.5,14566.5,71103.5,392.0
7990.5,4031.5,14569.5,71098.5,378.0
7988.5,4031.0,14571.5,71088.5,377.0
7989.0,4031.5,14572.5,71095.5,378.0
7988.0,4032.0,14571.0,71094.5,379.5
7986.5,4031.5,14571.5,71081.5,375.0
7986.5,4031.5,14573.5,71087.5,379.0
7987.0,4031.0,14570.5,71076.5,372.0
7987.5,4030.5,14569.5,71068.5,366.0
7987.0,4030.5,14568.5,71057.0,357.5
7987.0,4030.5,14570.5,71061.5,360.0
7986.5,4029.5,14571.0,71054.5,360.5
7987.5,4029.5,14567.5,71065.5,371.0
7987.0,4029.5,14565.5,71071.5,381.0
7987.0,4030.0,14570.5,71085.5,387.0
7987.5,4030.0,14568.0,71091.5,393.5
7989.0,4030.5,14568.5,71092.5,385.0
7989.0,4030.0,14566.5,71087.0,384.5
7990.5,4030.0,14570.5,71096.5,384.0
7990.5,4030.0,14570.5,71098.5,386.0
7991.5,4030.0,14569.0,71091.0,376.0
7991.0,4029.5,14565.5,71077.5,371.0
7990.5,4029.5,14565.0,71082.5,378.5
7991.0,4029.5,14567.5,71087.5,379.0
7991.5,4029.0,14569.5,71092.5,383.0
7990.5,4028.5,14565.5,71088.5,390.0
7990.0,4028.0,14570.0,71086.5,388.5
7989.0,4028.5,14569.5,71075.5,379.0
7988.5,4028.5,14566.5,71074.5,383.0
7987.5,4029.0,14567.0,71082.0,391.0
7988.0,4028.0,14565.0,71081.5,396.5
7986.0,4028.5,14563.5,71069.5,391.0
7985.5,4028.5,14561.5,71065.5,391.0
7985.5,4028.0,14561.5,71053.5,382.0
7984.5,4027.5,14560.0,71052.5,389.5
7983.0,4027.5,14555.5,71035.0,382.5
7983.0,4027.5,14556.5,71032.5,379.0
7984.0,4027.5,14555.5,71034.5,378.0
7985.0,4028.0,14558.5,71049.5,383.0
7985.5,4028.5,14560.5,71051.5,378.0
7986.0,4028.0,14562.0,71053.5,379.5
7986.0,4028.5,14562.5,71050.5,373.0
7985.0,4028.5,14566.5,71046.5,369.0
7984.5,4028.5,14565.5,71037.5,363.0
7985.0,4028.0,14562.5,71031.5,361.0
7986.0,4028.5,14563.5,71036.5,358.0
7987.0,4028.5,14556.0,71034.5,359.5
7986.5,4029.0,14555.0,71044.5,369.5
7986.5,4028.5,14555.5,71043.5,371.0
7988.0,4028.0,14554.5,71043.5,369.0
7988.0,4028.0,14558.0,71047.5,369.5
7988.0,4028.0,14560.0,71050.5,370.5
7987.5,4028.0,14560.5,71036.5,358.0
7987.5,4027.5,14559.5,71035.5,361.0
7986.5,4027.5,14562.5,71025.5,352.0
7983.5,4027.5,14560.5,71006.5,347.0
7983.5,4028.0,14559.5,71017.5,356.0
7982.5,4027.5,14561.5,71012.5,356.0
7982.0,4027.5,14563.0,71017.5,361.5
7983.0,4028.0,14569.0,71046.5,377.5
7984.5,4028.5,14568.5,71059.5,382.0
7985.5,4028.5,14563.0,71048.5,372.5
7985.5,4028.0,14564.5,71062.5,388.0
7985.5,4028.0,14568.5,71059.5,381.0
7982.5,4028.5,14568.0,71043.0,374.0
7983.5,4028.5,14572.5,71055.5,378.0
7983.5,4028.5,14577.5,71060.5,378.0
7984.0,4028.5,14575.5,71059.0,376.5
7984.5,4028.5,14574.5,71067.5,384.0
7986.5,4028.5,14570.5,71067.5,380.0
7986.5,4029.0,14572.5,71056.5,364.0
7984.5,4029.0,14574.5,71049.5,363.0
7984.0,4029.5,14576.0,71051.5,362.5
7984.0,4029.5,14572.5,71059.5,374.0
7984.5,4030.0,14570.5,71054.5,366.0
7985.5,4029.5,14566.5,71055.5,370.0
7985.5,4029.5,14561.5,71057.5,377.0
7984.5,4030.5,14558.0,71064.5,385.5
7985.0,4030.5,14553.5,71061.5,385.0
7985.5,4030.5,14553.0,71061.5,383.5
7986.5,4030.5,14554.0,71065.5,382.5
7984.5,4030.5,14556.0,71058.5,381.5
7984.5,4030.5,14555.5,71064.5,388.0
7984.5,4031.0,14554.0,71067.5,389.5
7984.5,4031.0,14554.0,71063.5,385.5
7985.0,4031.5,14555.5,71077.5,393.0
7985.5,4031.5,14554.5,71071.5,386.0
7985.5,4032.0,14554.5,71065.5,377.0
7985.0,4032.5,14554.0,71072.5,383.5
