COCONUT,COCONUT_COUPON
10000.0,637.5
9999.5,637.5
9998.5,637.5
9999.5,638.5
9998.5,637.5
9996.5,637.5
9997.0,636.5
9998.0,639.5
9997.0,636.5
9996.5,634.5
9999.5,636.5
9998.0,635.5
9997.5,635.5
9999.0,634.5
9999.5,634.5
10001.5,634.5
10002.0,635.5
10001.5,635.5
10002.0,636.0
10001.0,635.5
10002.0,637.5
10002.5,637.5
10001.5,635.5
10002.0,634.5
10001.0,634.5
10001.0,634.5
10000.5,633.5
10001.0,634.0
9998.5,633.5
9999.0,632.5
9997.5,630.5
9998.5,634.5
9997.5,634.5
9997.0,634.5
9996.0,633.5
9996.5,635.5
9997.5,637.5
9997.5,637.5
9997.5,636.5
9997.5,635.5
9997.5,636.5
9997.5,636.5
9997.0,634.5
9997.0,635.5
9998.5,636.5
9999.5,636.5
9997.5,634.5
9997.5,634.5
9997.5,635.5
9997.0,636.5
9996.5,635.5
9996.5,636.5
9997.5,638.5
9998.5,638.5
9998.5,636.5
9999.5,639.5
9999.5,640.5
10000.0,641.5
9999.5,642.5
9998.0,642.5
9997.5,641.5
9998.0,642.5
9999.0,642.5
9999.5,642.5
10001.5,642.5
10002.5,642.5
10002.5,643.5
10002.5,643.5
10004.5,643.5
10004.0,642.5
10003.0,641.0
10003.5,640.5
10003.0,640.5
10003.5,640.5
10002.0,640.0
10003.0,639.5
10003.5,638.5
10003.5,638.0
10002.5,637.5
10003.0,635.5
10004.0,636.5
10003.5,636.5
10003.5,638.5
10004.5,639.5
10005.0,640.5
10005.0,640.5
10005.5,642.5
10005.5,641.5
10005.0,641.5
10004.5,639.5
10002.5,638.5
10002.5,637.5
10003.5,637.5
10004.0,637.5
10003.5,640.0
10005.5,641.0
10006.5,640.5
10006.0,639.5
10006.0,639.5
10005.5,638.0
10004.5,637.5
10005.5,638.5
10006.5,637.5
10006.0,635.5
10006.0,634.5
10006.5,636.0
10006.0,634.5
10007.0,635.5
10007.5,637.5
10007.5,636.5
10006.0,634.5
10007.5,634.5
